Model,Solver,Test_id,State,Time,Obj
imada-int,gecode,test2,feas,77.45,1817
imada-int,gecode,test2,feas,77.95,1816
imada-int,gecode,test2,feas,80.1,1815
imada-int,gecode,test2,feas,80.6,1814
imada-int,gecode,test2,feas,81.1,1813
imada-int,gecode,test2,feas,81.6,1812
imada-int,gecode,test2,feas,82.1,1811
imada-int,gecode,test2,feas,82.96,1810
imada-int,gecode,test2,feas,98.65,1809
imada-int,gecode,test2,feas,114.18,1808
imada-int,gecode,test2,feas,129.75,1807
imada-int,gecode,test2,feas,145.28,1806
imada-int,gecode,test2,feas,161.24,1805
imada-int,gecode,test2,feas,176.7,1804
imada-int,gecode,test2,feas,302.61,1803
imada-int,gecode,test2,feas,428.98,1802
imada-int,gecode,test2,feas,666.41,1801
imada-int,gecode,test3,feas,32.95,1830
imada-int,gecode,test3,feas,33.8,1829
imada-int,gecode,test3,feas,34.58,1828
imada-int,gecode,test3,feas,35.5,1827
imada-int,gecode,test3,feas,36.37,1826
imada-int,gecode,test3,feas,36.92,1825
imada-int,gecode,test3,feas,37.47,1824
imada-int,gecode,test3,feas,38.15,1823
imada-int,gecode,test3,feas,38.97,1822
imada-int,gecode,test3,feas,39.59,1821
imada-int,gecode,test3,feas,40.1,1820
imada-int,gecode,test3,feas,40.66,1819
imada-int,gecode,test3,feas,41.43,1818
imada-int,gecode,test3,feas,77.95,1817
imada-int,gecode,test3,feas,78.45,1816
imada-int,gecode,test3,feas,80.58,1815
imada-int,gecode,test3,feas,81.07,1814
imada-int,gecode,test3,feas,81.57,1813
imada-int,gecode,test3,feas,82.07,1812
imada-int,gecode,test3,feas,82.57,1811
imada-int,gecode,test3,feas,83.53,1810
imada-int,gecode,test3,feas,99.96,1809
imada-int,gecode,test3,feas,116.4,1808
imada-int,gecode,test3,feas,132.77,1807
imada-int,gecode,test3,feas,149.08,1806
imada-int,gecode,test3,feas,165.74,1805
imada-int,gecode,test3,feas,182.02,1804
imada-int,gecode,test3,feas,315.13,1803
imada-int,gecode,test3,feas,449.13,1802
imada-int,gecode,test3,feas,700.95,1801
imada-int,ortools,test1,feas,136.627003908,1830
imada-int,ortools,test1,feas,141.036472082,1829
imada-int,ortools,test1,feas,145.446176052,1828
imada-int,ortools,test1,feas,149.855762005,1827
imada-int,ortools,test1,feas,154.265320063,1826
imada-int,ortools,test1,feas,158.674997091,1825
imada-int,ortools,test1,feas,163.084535122,1824
imada-int,ortools,test1,feas,167.494133949,1823
imada-int,ortools,test1,feas,171.903816938,1822
imada-int,ortools,test1,feas,176.313642979,1821
imada-int,ortools,test1,feas,180.823483944,1820
imada-int,ortools,test1,feas,186.034771919,1819
imada-int,ortools,test1,feas,190.444437027,1818
imada-int,ortools,test1,feas,206.880126953,1817
imada-int,ortools,test1,feas,211.289824009,1816
imada-int,ortools,test1,feas,218.405510902,1815
imada-int,ortools,test1,feas,222.915286064,1814
imada-int,ortools,test1,feas,227.425383091,1813
imada-int,ortools,test1,feas,232.035401106,1812
imada-int,ortools,test1,feas,236.445084095,1811
imada-int,ortools,test1,feas,242.458236933,1810
imada-int,ortools,test1,feas,254.484410048,1809
imada-int,ortools,test1,feas,265.608623028,1808
imada-int,ortools,test1,feas,276.933598995,1807
imada-int,ortools,test1,feas,288.258094072,1806
imada-int,ortools,test1,feas,299.783505917,1805
imada-int,ortools,test1,feas,311.208314896,1804
imada-int,ortools,test1,feas,339.168312073,1803
imada-int,ortools,test1,feas,366.627720118,1802
imada-int,ortools,test1,feas,409.220449924,1801
imada-int,ortools,test1,feas,464.540874958,1800
imada-int,ortools,test1,feas,607.151852131,1799
imada-int,ortools,test1,feas,705.164554119,1798
imada-int,ortools,test1,feas,797.362260103,1797
imada-int,ortools,test2,feas,136.826150894,1830
